prompt_id,rank,candidate_id,is_relevant,score
p001,1,ed7e4a37-d9be-4409-94bc-2ae4ab418536,0,0.1165867074005365
p001,2,4ecdbfc0-1806-4d7c-870a-696d2b744ace,0,0.10793633821601016
p001,3,0839cfde-d2f4-4ccc-9042-d7eeedde0285,0,0.10112365154361308
p001,4,e731e335-9350-4e40-b5a8-18ea9f7d9355,1,0.08455691878273269
p001,5,3f4a360c-b78d-4f1f-81b8-dd9a301cebf7,0,0.08015678495454229
p001,6,15a2db04-4fce-42dd-ad65-7e1cadd4d165,0,0.07843105833489965
p001,7,c3f46eeb-459c-4059-b4bb-19290702acd9,0,0.07287512963163384
p001,8,44119744-d2ff-455e-8a55-6ef26e3504ff,0,0.07078265170601679
p001,9,8cb1d3db-7c5c-4cef-9c89-d85fe4e512d2,0,0.0672566292850359
p001,10,1bb49304-716a-4de6-b7c0-0c9faea027d6,0,0.06664072893363047
p002,1,ea097581-70df-4098-bb46-ed730fa37663,1,0.23841520263906363
p002,2,0be74afe-2afc-49f8-94e8-1c245bcff3a5,1,0.18090463604345183
p002,3,8c1e3369-a6fa-431e-adc8-4aded23f0cfa,0,0.14912079567073463
p002,4,238fb616-8e70-406d-8398-7b9e323e443d,0,0.11950913439618235
p002,5,51b8c98a-6aef-4cbd-880b-4d04fb9eab49,0,0.10166143399631906
p002,6,d05e5e1b-7e54-4913-ab13-64bdb660fcc9,0,0.08854851650999801
p002,7,4c9eba85-2ec2-456a-9173-729c7dbaebb3,0,0.08753555541670877
p002,8,e6ee71f6-32bb-4dca-b0a2-a17441a2fe61,1,0.07351642508212283
p002,9,201e6b5f-bec5-4e95-b329-590e5d336f39,0,0.07237970842021725
p002,10,574d2610-b054-49b0-9498-f4e306203ba5,0,0.061932128505545914
p003,1,28fbb276-cff2-42a9-85b8-caa005876cb7,0,0.25699676242016184
p003,2,e6ab461c-5fc6-4265-a110-a354142fb803,0,0.18017260424712528
p003,3,b7c0dec3-0e6b-48e9-b628-afada6b462e4,0,0.1231486322333861
p003,4,eaecaa11-2c78-4aed-8080-51ded8d4d88a,0,0.11665702143773794
p003,5,2aa6e12d-365c-4317-b52f-6e91a39b9965,0,0.11505026727862477
p003,6,fcae6551-cd47-4b12-a6a0-43943698ae1f,0,0.11503513754899136
p003,7,5ce6c601-156d-4daa-9540-f0304e0f0bf1,0,0.11245288854040933
p003,8,8eddc1c1-687a-45d7-9579-a1dbbca8acc5,0,0.11235782921311643
p003,9,d676d01c-0ee6-4de0-9664-42bc19f90468,0,0.11148911971161299
p003,10,0df5b2a1-2115-4db7-a9e5-9443213af683,0,0.11096827235236022
p004,1,bdb493e3-aca6-4525-9773-856c4fda8457,0,0.23126241831184408
p004,2,ea097581-70df-4098-bb46-ed730fa37663,1,0.2164528286762913
p004,3,a63e6598-b507-4770-812a-43fb80300b63,0,0.15545510897363474
p004,4,2b245262-4c20-47ff-bcde-9bd663acac87,0,0.11906449990743781
